"Die","Domain","FrequencyGHz","Core","VminColumn","UpmS2TColumn","DevRevColumn","DevRevStep","TargetS2T","Samples","Slope","Intercept","R2","Vmin_At_Target"
"CDIE","CCF","1.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CCF_1.200_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-0.266626034881829","0.699780020934978","0.172684989636531","0.467815370587787"
"CDIE","CCF","3","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CCF_3.000_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-0.621301980696457","1.20818130073672","0.444458150684863","0.667648577530806"
"CDIE","CCF","3.4","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CCF_3.400_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-0.73451323556931","1.38014607297147","0.547702406294797","0.741119558026174"
"CDIE","CCF","4","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CCF_4.000_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-0.938744845037219","1.67887343995268","0.567073919076905","0.862165424770297"
"CDIE","CCF","4.3","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CCF_4.300_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","269","-0.597697103674243","1.49157105454418","0.163578309833096","0.971574574347588"
"CDIE","CCF","4.8","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CCF_4.800_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8463","-1.45023748343205","2.38348837143346","0.566452069851629","1.12178176084758"
"CDIE","CCF","5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CCF_5.000_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","91","-0.139944697244868","1.29239202592781","0.0291932994145242","1.17064013932478"
"CDIE","CR","1.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_1.200_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-0.540577901622179","0.951194945349468","0.0600748829379844","0.480892170938173"
"CDIE","CR","1.2","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_1.200_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-0.515964085598207","0.930296109711217","0.0569811184856007","0.481407355240777"
"CDIE","CR","3","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_3.000_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-0.649711028761123","1.22771405214588","0.201157008498277","0.662465457123702"
"CDIE","CR","3","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_3.000_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-0.672233281487895","1.24775624862993","0.218115466730836","0.662913293735458"
"CDIE","CR","4.1","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.100_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-1.20282052396327","1.89872444558191","0.626136802897034","0.852270589733865"
"CDIE","CR","4.1","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.100_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-1.22696548604979","1.92214474675338","0.622461157891349","0.85468477389006"
"CDIE","CR","4.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.500_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-1.33870724741364","2.12462472960603","0.67986049828009","0.959949424356168"
"CDIE","CR","4.5","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.500_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8823","-1.34366235310081","2.13479534333086","0.624059718064154","0.965809096133158"
"CDIE","CR","4.6","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.600_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","1",,,,
"CDIE","CR","4.6","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.600_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","1",,,,
"CDIE","CR","4.8","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.800_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","1142","-1.976997466562","2.77804371764023","0.518973133791853","1.05805592173129"
"CDIE","CR","4.8","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.800_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","1142","-1.64745979694973","2.50766322095818","0.353425872759451","1.07437319761192"
"CDIE","CR","5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_5.000_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","7680","-2.60057947025678","3.41535737399851","0.458755430109502","1.15285323487511"
"CDIE","CR","5","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_5.000_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","7680","-2.51902446195353","3.35178132879147","0.401907182473102","1.1602300468919"
"GTDIE","GT","1.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GT_1.200_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8823","-0.132179041012144","0.707192591586624","0.011621964731786","0.594840406726302"
"GTDIE","GT","1.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GT_1.500_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8823","-0.549665110945931","1.09306593378843","0.344200974259994","0.62585058948439"
"GTDIE","GT","2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GT_2.000_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8823","-0.751628048448162","1.33756197975957","0.548952726217475","0.698678138578634"
"GTDIE","GT","2.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GT_2.200_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8823","-0.806601801976946","1.41539013174621","0.568900383772123","0.729778600065805"
"GTDIE","GT","2.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GT_2.500_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","1",,,,
"GTDIE","GT","2.9","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GT_2.900_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8822","-1.09091157477886","1.80304725413815","0.689801753840348","0.875772415576121"
"GTDIE","GTVPG","1.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GTVPG_1.200_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8823","-0.132179041012144","0.707192591586624","0.011621964731786","0.594840406726302"
