"Die","Domain","FrequencyGHz","Core","VminColumn","UpmS2TColumn","DevRevColumn","DevRevStep","TargetS2T","Samples","Slope","Intercept","R2","Vmin_At_Target"
"HUBDIE","SAN","1.65","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAN_1.650_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-1.06861814540997","1.8049076383616","0.676207414353567","0.896582214763123"
"HUBDIE","SAPS","0.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAPS_0.500_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.613659073224529","1.10675412256925","0.521492483705347","0.585143910328405"
"HUBDIE","SAPS","0.75","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAPS_0.750_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.777518358680808","1.46605360124444","0.619358520888271","0.805162996365749"
"HUBDIE","SAQ","1.4","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAQ_1.400_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.613659073224529","1.10675412256925","0.521492483705347","0.585143910328405"
"HUBDIE","SAQ","3","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAQ_3.000_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.777518358680808","1.46605360124444","0.619358520888271","0.805162996365749"
"HUBDIE","SAQ","3.4","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAQ_3.400_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-1.06861814540997","1.8049076383616","0.676207414353567","0.896582214763123"
"HUBDIE","SAQ","3.6","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAQ_3.600_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","5833","-0.881290329786651","1.70629193959703","0.406260221923773","0.957195159278381"
"HUBDIE","SAQ","4","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAQ_4.000_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","2960","-0.921546438407791","1.85118075975311","0.504373427724627","1.06786628710649"
"HUBDIE","SAVPU","0.629","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAVPU_0.629_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.613659073224529","1.10675412256925","0.521492483705347","0.585143910328405"
"HUBDIE","SAVPU","1.257","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAVPU_1.257_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.777518358680808","1.46605360124444","0.619358520888271","0.805162996365749"
"HUBDIE","SAVPU","1.429","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAVPU_1.429_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-1.06861814540997","1.8049076383616","0.676207414353567","0.896582214763123"
